event_id,match_id,minute,second,period,team_id,player_id,event_type,x,y,end_x,end_y,body_part,shot_statsbomb_xg,shot_type,assist_type,shot_outcome,pass_length,pass_angle,pass_assisted_shot_id,pass_goal_assist,possession,pressure_flag,freeze_frame_features
66a22fc7-4cf0-4170-ae7b-9e35852b390b,7542,0,0,1,780,,Starting XI,,,,,,,,,,,,,,1,False,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
898cdc6a-c001-4594-9b0a-8f7d4d5c10ba,7542,0,0,1,788,,Starting XI,,,,,,,,,,,,,,1,False,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
ebcb408b-390b-448d-8a09-086e7b0b8e46,7542,0,0,1,780,,Half Start,,,,,,,,,,,,,,1,False,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
6be4604e-e9ac-43b4-8b5f-b994d806c3c0,7542,0,0,1,788,,Half Start,,,,,,,,,,,,,,1,False,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
8ca2667b-d000-4e29-98c1-a8a0a9c1b950,7542,0,0,1,780,3168.0,Pressure,65.0,53.0,,,,,,,,,,,,1,True,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
f3efad85-09ec-415e-9487-cdf77246f11e,7542,0,0,1,788,5726.0,Pass,60.0,41.0,45.0,46.0,Right Foot,,,,,15.811388,2.819842,,,2,False,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
f3181738-c6a9-4430-bb9f-102467a5d387,7542,0,0,1,788,5232.0,Ball Receipt*,45.0,46.0,,,,,,,,,,,,2,False,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
96095257-2757-47c5-81c8-048ef65fd2b8,7542,0,0,1,788,5232.0,Carry,45.0,46.0,44.0,47.0,,,,,,,,,,2,False,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
5bbadd15-eacd-4018-b9b5-8f83e5516996,7542,0,0,1,788,5232.0,Pass,44.0,47.0,35.0,20.0,Right Foot,,,,,28.460499,-1.8925469,,,2,False,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
b2035d3e-5161-43ce-98c4-6565d77b277f,7542,0,2,1,788,5221.0,Ball Receipt*,35.0,20.0,,,,,,,,,,,,2,False,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
044f936e-cf3b-4c39-9416-0e15fa91f816,7542,0,2,1,788,5221.0,Carry,35.0,20.0,37.0,16.0,,,,,,,,,,2,False,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
b2aa7566-09c3-4af9-a6fd-f72746175398,7542,0,3,1,788,5221.0,Pass,37.0,16.0,57.0,23.0,Left Foot,,,,,21.189621,0.3366748,,,2,False,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
de2d33ab-1497-444c-b774-744d1d14b462,7542,0,4,1,788,5237.0,Ball Receipt*,57.0,23.0,,,,,,,,,,,,2,False,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
ed0a2df4-dd0d-47d2-ae2d-dd09d47e686a,7542,0,4,1,788,5237.0,Carry,57.0,23.0,50.0,26.0,,,,,,,,,,2,False,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
ecb21046-2c69-4a5c-b121-c1ac12bd06fa,7542,0,5,1,788,5237.0,Pass,50.0,26.0,54.0,2.0,Left Foot,,,,,24.33105,-1.4056476,,,2,False,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
755ffa6d-b7bc-4fa2-9fbc-09af28251991,7542,0,5,1,780,3168.0,Pressure,94.0,64.0,,,,,,,,,,,,2,True,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
409e0f9e-2fa8-4b70-9c76-2d70291682ce,7542,0,6,1,788,5245.0,Ball Receipt*,54.0,2.0,,,,,,,,,,,,2,False,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
6db5c451-a3b9-4dd5-919f-8eed08df3fcd,7542,0,6,1,788,5245.0,Carry,54.0,2.0,51.0,1.0,,,,,,,,,,2,False,"{""freeze_teammates"": 0, ""freeze_opponents"": 0, ""freeze_goalkeepers"": 0, ""freeze_mean_opponent_dist"": null, ""freeze_goalkeeper_dist"": null}"
