player_id,player_name
2947,Anthony Lopes
3168,João Filipe Iria Santos Moutinho
3193,Bernardo Mota Veiga de Carvalho e Silva
3329,Cédric Ricardo Alves Soares
3707,Adrien Sebastian Perruchet Silva
3960,José Miguel da Rocha Fonte
4272,João Mário Naval da Costa Eduardo
4367,Gonçalo Manuel Ganchinho Guedes
5204,Bruno Miguel Borges Fernandes
5205,Rui Pedro dos Santos Patrício
5206,Rúben Santos Gato Alves Dias
5207,Cristiano Ronaldo dos Santos Aveiro
5209,Raphaël Adelino José Guerreiro
5214,William Silva de Carvalho
5215,Ricardo Andrade Quaresma Bernardo
5218,André Miguel Valente Silva
5723,Gelson Dany Batalha Martins
6350,Manuel Henrique Tavares Fernandes
6352,Ricardo Domingos Barbosa Pereira
7151,Mário Rui Silva Duarte
11495,Bruno Eduardo Regufe Alves
20016,Kléper Laveran Lima Ferreira
27111,António Alberto Bastos Pimparel
3302,Nordin Amrabat
4543,Hamza Mendyl
5219,Romain Saïss
5221,Manuel Marouan da Costa Trinidade
5223,Aziz Bouhaddouz
5229,Ayoub El Kaabi
5232,Mbark Boussoufa
5233,Munir Mohand Mohamedi
5234,Sofyan Amrabat
5236,Karim El Ahmadi Al Aroos
5237,Hakim Ziyech
5242,Younès Belhanda
5243,Amine Harit
5244,Medhi Amine El Mouttaqi Benatia
5245,Achraf Hakimi Mouh
5724,Fayçal Fajr
5725,Mehdi Carcela-González
5726,Khalid Boutaïb
5727,Nabil Dirar
6301,Youssef En-Nesyri
6785,Yassine Bounou
139011,Ahmed Reda Tagnaouti
5220,Morteza Pouraliganji
5224,Sardar Azmoun
5225,Omid Ebrahimi
5226,Mehdi Taremi
5227,Alireza Safar Beiranvand
5228,Seyed Majid Hosseini
5230,Ehsan Hajsafi
5231,Karim Ansarifard
5235,Ramin Rezaeian
5238,Masoud Shojaei Soleimani
5239,Alireza Jahanbakhsh
5240,Saman Ghoddos
5241,Vahid Amiri
5720,Milad Mohammadi
5722,Saeid Ezatolahi Afagh
8120,Reza Ghoochannejhad Nournia
11224,Amir Abedzadeh
13602,Ashkan Dejagah
124161,Mehdi Torabi
125819,Mohammad Rashid Mazaheri
222227,Pejman Montazeri
401538,Mohammad Reza Khanzadeh
2954,Youri Tielemans
3037,Mousa Sidi Yaya Dembélé
3077,Jan Vertonghen
3089,Kevin De Bruyne
3101,Vincent Kompany
3176,Thomas Meunier
3289,Romelu Lukaku Menama
3296,Marouane Fellaini-Bakkioui
3457,Michy Batshuayi Tunga
3509,Thibaut Courtois
3539,Simon Mignolet
3621,Eden Hazard
4831,Nacer Chadli
5630,Dries Mertens
5632,Thorgan Hazard
5633,Yannick Ferreira Carrasco
5639,Anga Dedryck Boyata
5642,Axel Witsel
6330,Adnan Januzaj
6331,Leander Dendoncker
6332,Thomas Vermaelen
8240,Koen Casteels
20005,Toby Alderweireld
3094,Bamidele Alli
3205,Kyle Walker
3233,Raheem Sterling
3244,John Stones
3293,Jesse Lingard
3308,Kieran Trippier
3314,Phil Jones
3318,Marcus Rashford
3336,Harry Maguire
3468,Jordan Pickford
3474,Nick Pope
3504,Ruben Loftus-Cheek
3532,Jordan Brian Henderson
3537,Jack Butland
3569,Daniel Nii Tackie Mensah Welbeck
3594,Danny Rose
3612,Ashley Young
3645,Gary Cahill
3664,Trent Alexander-Arnold
4597,Fabian Delph
10955,Harry Kane
10956,Eric Dier
10960,Jamie Vardy
3279,José Heriberto Izquierdo Mena
3445,Radamel Falcao García Zárate
3494,Davinson Sánchez Mina
4276,David Ospina Ramírez
5678,Jefferson Andrés Lerma Solís
5680,Oscar Fabián Murillo Murillo
5685,Carlos Alberto Sánchez Moreno
5686,Wílmar Enrique Barrios Terán
5688,Carlos Arturo Bacca Ahumada
5689,Juan Guillermo Cuadrado Bello
5691,Johan Andrés Mojica Palacio
5692,Juan Fernando Quintero Paniagua
5696,Santiago Arias Naranjo
6192,Abel Enrique Aguilar Tapia
6193,Andrés Mateus Uribe Villa
6196,Yerry Fernando Mina González
6334,Luis Fernando Muriel Fruto
6360,Cristian Eduardo Zapata Valencia
27225,Camilo Andrés Vargas Gil
27417,Farid Alfonso Díaz Rhenals
27470,José Fernando Cuadrado Romero
3024,Jacques François Moubandje
3500,Granit Xhaka
3533,Xherdan Shaqiri
5538,Denis Lemi Zakaria Lako Lado
5540,Valon Behrami
5543,Haris Seferović
5544,Ricardo Iván Rodríguez Araya
5545,Breel-Donald Embolo
5546,Michael Lang
5548,Steven Zuber
5549,Manuel Obafemi Akanji
5550,Yann Sommer
5554,Blerim Džemaili
5834,Mario Gavranović
5835,Josip Drmic
6359,Johan Danon Djourou-Gbadjere
6983,Remo Freuler
8225,Roman Bürki
8672,Gélson da Conceição Tavares Fernandes
8814,Nico Elvedi
11467,Yvon Landry Mvogo
3232,Karl-Johan Johnsson
3576,Martin Olsson
3702,Victor Nilsson Lindelöf
4417,Ola Toivonen
4709,Pontus Jansson
5605,Oscar Hiljemark
5607,Andreas Granqvist
5611,Gustav Svensson
5612,Mikael Lustig
5613,Viktor Claesson
5615,Isaac Kiese Thelin
5621,Ludwig Augustinsson
5622,Robin Olsen
5624,Albin Ekdal
5625,Emil Peter Forsberg
6038,John Guidetti
6358,Emil Krafth
7966,Filip Helander
8293,Marcus Rohdén
9563,Kristoffer Nordfeldt
11098,Marcus Berg
19988,Jimmy Durmaz
